"Ticker","Name","Mkt Cap £m","P/E","Op Profit","ROCE %","Net Debt","Div Cover","EV",""
"PTEC","Playtech","1,952","16.1","132","16.3","-366","2.11","2,069"," "
"CWK","Cranswick","618","14.9","55.8","16.2","17.0","2.76","635"," "
"INCH","Inchcape","2,791","14.3","301.2","16.2","-85.8","2.61","2,730"," "
"MNZS","John Menzies","307.7","10.4","44.9","16.2","116.3","1.64","424.4"," "
"SCL","Schlumberger NV","70,482","17.0","9,041","16.2","6,546","3.83","119,616"," "
"FSJ","James Fisher and Sons","557.4","16.1","53.4","16.1","82.3","3.85","641.1"," "
"CPG","Compass","15,741","18.8","821","16.0","1,456","1.01","17,204"," "
"GAZ","Gazprom neft' OAO","10,785","18.6","237,827","16.0","224,065","4.02","968,707"," "
"RTO","Rentokil Initial","2,056","17.0","180.1","16.0","864.3","2.19","2,921"," "
"AMEC","Amec","2,976","12.6","202","15.9","-28.0","1.16","2,950"," "
"MHM","Marsh & McLennan Companies Inc","16,779","18.4","2,189","15.6","1,540","2.58","28,496"," "
"NMC","NMC Health","884","18.4","87.8","15.5","99.6","9.39","1,519"," "
"UKCM","UK Commercial Property Trust","1,038","6.03","172.7","15.4","131.3","3.04","1,169"," "
"FIVE","X5 Retail NV","2,920","3.59","27,460","15.4","104,240","-","293,188"," "
"DTY","Dignity","813.7","16.5","75.1","15.3","330.6","4.05","1,144"," "
"SGP","SuperGroup","843.6","20.3","44.7","15.3","-86.1","-","759.1"," "
"BFA","BASF SE","49,285","13.8","7,599","15.0","14,625","2.02","76,898"," "
"EXPN","Experian","9,291","18.5","1,094","15.0","3,991","2.00","18,897"," "
"SYNT","Synthomer","646.1","13.8","70.8","15.0","117.7","2.03","776.2"," "
"DGE","Diageo","43,136","17.3","2,707","14.9","8,592","1.79","52,495"," "
"PHOR","PhosAgro OAO","2,624","4.48","16,712","14.9","44,010","1.97","214,423"," "
"GKN","GKN","4,918","10.4","656","14.8","813","3.62","5,752"," "
"HLCL","Helical Bar","382.9","4.42","106.7","14.8","312","10.8","694.9"," "
"ABF","Associated British Foods","19,610","27.5","1,095","14.7","827","2.43","20,737"," "
"BWY","Bellway","1,949","13.6","195.9","14.7","36.4","3.17","1,985"," "
"CRST","Crest Nicholson Holdings","772.9","9.82","107","14.7","60.6","2.97","833.5"," "
"RDW","Redrow","986.3","9.46","137.5","14.6","172.6","9.39","1,159"," "
"NCSP","Novorossiyskiy morskoy torgovy…","468","308.3","221","14.5","1,575","1.03","2,363"," "
"ETLN","Etalon","561.6","5.86","8,148","14.4","294","-","37,020"," "
"GFRD","Galliford Try","920.7","14.8","87.9","14.2","85.9","1.89","1,007"," "
"MNDI","Mondi","4,642","12.3","681","14.2","1,752","2.34","7,804"," "
"MGAM","Morgan Advanced Materials","771.9","12.7","87.7","14.1","194.3","1.38","1,004"," "
"OPHR","Ophir Energy","1,071","13.3","289.8","14.1","-1,491","-","224.9"," "
"DRTY","Darty","398.5","18.3","42.7","13.9","185.2","0.69","672.9"," "
"ESNT","Essentra","1,532","20.3","100.7","13.8","223.8","1.65","1,761"," "
"WMH","William Hill","2,990","13.5","283.9","13.8","615.7","1.83","3,605"," "
"CARD","Card Factory","747.1","34.6","56.2","13.7","144.2","-","891.3"," "
"BWNG","N Brown","873","11.6","103.8","13.7","205.2","1.86","1,078"," "
"S63","Singapore Technologies Enginee…","5,594","19.9","633.4","13.7","-631.2","2.28","10,900"," "
"REX","Rexam","3,198","11.4","436","13.5","1,213","2.01","4,411"," "
"WTB","Whitbread","7,404","25.9","387.9","13.5","391.6","2.63","7,805"," "
"NBPE","NB Private Equity Partners","334.3","4.91","109.2","13.4","42.2","4.97","578.6"," "
"PIC","Pace","932.7","13.8","140.9","13.4","167.6","5.27","1,662"," "
"PFG","Provident Financial","2,916","16.6","200.5","13.4","1,212","1.28","4,128"," "
"TW.","Taylor Wimpey","3,589","13.7","391.2","13.4","36.2","12.0","3,626"," "
"TCY","Telecity","1,352","18.5","104.4","13.3","296.2","3.00","1,648"," "
"FENR","Fenner","563.8","13.3","75.4","13.2","134.7","1.91","712.3"," "
"FXPO","Ferrexpo","500.3","2.96","359.2","13.2","629","6.77","1,453"," "
"PDG","Pendragon","422.6","8.09","86.0","13.2","105.7","5.93","528.3"," "
"TTA","Total SA","78,013","9.88","24,333","13.2","29,789","1.76","158,102"," "
"ARW","Arrow Global","413","13.4","43.1","13.0","155","6.87","568"," "
"SMIN","Smiths","4,649","15.6","377.6","12.9","804.2","1.45","5,461"," "
